Nue,Np,PtdBm,R,pCol
2,0,-10,1000,0.83625
3,0,-10,1000,0.58586
4,0,-10,1000,0.47959
5,0,-10,1000,0.41742
6,0,-10,1000,0.38035
7,0,-10,1000,0.35162
8,0,-10,1000,0.32968
9,0,-10,1000,0.31565
10,0,-10,1000,0.30214
11,0,-10,1000,0.29036
12,0,-10,1000,0.27857
13,0,-10,1000,0.27166
14,0,-10,1000,0.26253
15,0,-10,1000,0.2565
16,0,-10,1000,0.24803
17,0,-10,1000,0.24525
18,0,-10,1000,0.23984
19,0,-10,1000,0.23931
20,0,-10,1000,0.2328
21,0,-10,1000,0.23035
22,0,-10,1000,0.22719
23,0,-10,1000,0.2226
24,0,-10,1000,0.21993
25,0,-10,1000,0.21656
26,0,-10,1000,0.21407
27,0,-10,1000,0.21313
28,0,-10,1000,0.2091
29,0,-10,1000,0.20837
30,0,-10,1000,0.20571
31,0,-10,1000,0.20463
32,0,-10,1000,0.20167
33,0,-10,1000,0.20113
34,0,-10,1000,0.19859
35,0,-10,1000,0.19584
36,0,-10,1000,0.19679
37,0,-10,1000,0.19499
38,0,-10,1000,0.19117
39,0,-10,1000,0.19007
40,0,-10,1000,0.18924
41,0,-10,1000,0.19014
42,0,-10,1000,0.18658
43,0,-10,1000,0.18501
44,0,-10,1000,0.18348
45,0,-10,1000,0.18455
46,0,-10,1000,0.18234
47,0,-10,1000,0.17883
48,0,-10,1000,0.18048
49,0,-10,1000,0.18098
50,0,-10,1000,0.17657
51,0,-10,1000,0.17913
52,0,-10,1000,0.17802
53,0,-10,1000,0.17567
54,0,-10,1000,0.17592
55,0,-10,1000,0.17443
56,0,-10,1000,0.17488
57,0,-10,1000,0.1728
58,0,-10,1000,0.17135
59,0,-10,1000,0.16848
60,0,-10,1000,0.17067
61,0,-10,1000,0.16989
62,0,-10,1000,0.16817
63,0,-10,1000,0.16876
64,0,-10,1000,0.16661
65,0,-10,1000,0.16897
66,0,-10,1000,0.16637
67,0,-10,1000,0.16573
68,0,-10,1000,0.1659
69,0,-10,1000,0.16612
70,0,-10,1000,0.16423
71,0,-10,1000,0.16301
72,0,-10,1000,0.16396
73,0,-10,1000,0.16272
74,0,-10,1000,0.16465
75,0,-10,1000,0.16225
76,0,-10,1000,0.16156
77,0,-10,1000,0.16211
78,0,-10,1000,0.16027
79,0,-10,1000,0.16173
80,0,-10,1000,0.15984
81,0,-10,1000,0.15906
82,0,-10,1000,0.15963
83,0,-10,1000,0.15821
84,0,-10,1000,0.16116
85,0,-10,1000,0.15737
86,0,-10,1000,0.15486
87,0,-10,1000,0.15713
88,0,-10,1000,0.1562
