Nue,Np,PtdBm,R,pCol
2,0,-10,2500,0.778204
3,0,-10,2500,0.566357
4,0,-10,2500,0.46837
5,0,-10,2500,0.413802
6,0,-10,2500,0.375578
7,0,-10,2500,0.349047
8,0,-10,2500,0.328351
9,0,-10,2500,0.31158
10,0,-10,2500,0.298506
11,0,-10,2500,0.287786
12,0,-10,2500,0.27764
13,0,-10,2500,0.269377
14,0,-10,2500,0.263073
15,0,-10,2500,0.256139
16,0,-10,2500,0.250869
17,0,-10,2500,0.245035
18,0,-10,2500,0.241095
19,0,-10,2500,0.236621
20,0,-10,2500,0.23178
21,0,-10,2500,0.229138
22,0,-10,2500,0.225452
23,0,-10,2500,0.22172
24,0,-10,2500,0.219936
25,0,-10,2500,0.216532
26,0,-10,2500,0.214548
27,0,-10,2500,0.211519
28,0,-10,2500,0.209611
29,0,-10,2500,0.207331
30,0,-10,2500,0.204401
31,0,-10,2500,0.202946
32,0,-10,2500,0.201855
33,0,-10,2500,0.199963
34,0,-10,2500,0.197913
35,0,-10,2500,0.19655
36,0,-10,2500,0.194172
37,0,-10,2500,0.193806
38,0,-10,2500,0.192666
39,0,-10,2500,0.191111
40,0,-10,2500,0.190067
41,0,-10,2500,0.188074
42,0,-10,2500,0.186699
43,0,-10,2500,0.185925
44,0,-10,2500,0.18433
45,0,-10,2500,0.183677
46,0,-10,2500,0.182346
47,0,-10,2500,0.181447
48,0,-10,2500,0.181146
49,0,-10,2500,0.179747
50,0,-10,2500,0.178825
51,0,-10,2500,0.177612
52,0,-10,2500,0.177072
53,0,-10,2500,0.176436
54,0,-10,2500,0.175092
55,0,-10,2500,0.173944
56,0,-10,2500,0.173263
57,0,-10,2500,0.172704
58,0,-10,2500,0.171794
59,0,-10,2500,0.171399
60,0,-10,2500,0.170375
61,0,-10,2500,0.169846
62,0,-10,2500,0.168761
63,0,-10,2500,0.168588
64,0,-10,2500,0.168387
65,0,-10,2500,0.167721
66,0,-10,2500,0.166584
67,0,-10,2500,0.166198
68,0,-10,2500,0.16562
69,0,-10,2500,0.165584
70,0,-10,2500,0.164888
71,0,-10,2500,0.163938
72,0,-10,2500,0.162891
73,0,-10,2500,0.163171
74,0,-10,2500,0.161911
75,0,-10,2500,0.162503
76,0,-10,2500,0.162094
77,0,-10,2500,0.161288
78,0,-10,2500,0.160633
79,0,-10,2500,0.159443
80,0,-10,2500,0.158962
81,0,-10,2500,0.158724
82,0,-10,2500,0.158611
83,0,-10,2500,0.157217
84,0,-10,2500,0.157718
85,0,-10,2500,0.157245
86,0,-10,2500,0.156757
87,0,-10,2500,0.156118
88,0,-10,2500,0.155738
89,0,-10,2500,0.156014
90,0,-10,2500,0.155971
91,0,-10,2500,0.154972
92,0,-10,2500,0.155118
93,0,-10,2500,0.154625
94,0,-10,2500,0.153637
95,0,-10,2500,0.153517
96,0,-10,2500,0.153066
97,0,-10,2500,0.152757
98,0,-10,2500,0.152303
99,0,-10,2500,0.152283
100,0,-10,2500,0.151436
101,0,-10,2500,0.151935
102,0,-10,2500,0.150769
103,0,-10,2500,0.151036
104,0,-10,2500,0.150199
105,0,-10,2500,0.149872
106,0,-10,2500,0.150277
107,0,-10,2500,0.149802
108,0,-10,2500,0.149145
109,0,-10,2500,0.148939
110,0,-10,2500,0.148939
2,1,-10,2500,0.389445
3,1,-10,2500,0.377761
4,1,-10,2500,0.351417
5,1,-10,2500,0.330855
6,1,-10,2500,0.312405
7,1,-10,2500,0.299763
8,1,-10,2500,0.287537
9,1,-10,2500,0.276655
10,1,-10,2500,0.268698
11,1,-10,2500,0.261404
12,1,-10,2500,0.254244
13,1,-10,2500,0.248946
14,1,-10,2500,0.242959
15,1,-10,2500,0.239021
16,1,-10,2500,0.233872
17,1,-10,2500,0.231291
18,1,-10,2500,0.227232
19,1,-10,2500,0.223497
20,1,-10,2500,0.220445
21,1,-10,2500,0.2179
22,1,-10,2500,0.214869
23,1,-10,2500,0.212135
24,1,-10,2500,0.210249
25,1,-10,2500,0.208315
26,1,-10,2500,0.206245
27,1,-10,2500,0.204009
28,1,-10,2500,0.201423
29,1,-10,2500,0.199424
30,1,-10,2500,0.198325
31,1,-10,2500,0.195787
32,1,-10,2500,0.195093
33,1,-10,2500,0.193507
34,1,-10,2500,0.192676
35,1,-10,2500,0.191018
36,1,-10,2500,0.189146
37,1,-10,2500,0.187725
38,1,-10,2500,0.186682
39,1,-10,2500,0.186146
40,1,-10,2500,0.184778
41,1,-10,2500,0.183465
42,1,-10,2500,0.18195
43,1,-10,2500,0.181933
44,1,-10,2500,0.18119
45,1,-10,2500,0.179601
46,1,-10,2500,0.178669
47,1,-10,2500,0.177511
48,1,-10,2500,0.176765
49,1,-10,2500,0.176247
50,1,-10,2500,0.175373
51,1,-10,2500,0.174609
52,1,-10,2500,0.173652
53,1,-10,2500,0.172481
54,1,-10,2500,0.172342
55,1,-10,2500,0.171265
56,1,-10,2500,0.170924
57,1,-10,2500,0.170134
58,1,-10,2500,0.169105
59,1,-10,2500,0.168124
60,1,-10,2500,0.167752
61,1,-10,2500,0.167402
62,1,-10,2500,0.167082
63,1,-10,2500,0.16578
64,1,-10,2500,0.16467
65,1,-10,2500,0.165069
66,1,-10,2500,0.164266
67,1,-10,2500,0.163653
68,1,-10,2500,0.162812
69,1,-10,2500,0.162873
70,1,-10,2500,0.162224
71,1,-10,2500,0.161625
72,1,-10,2500,0.161314
73,1,-10,2500,0.160781
74,1,-10,2500,0.159772
75,1,-10,2500,0.160064
76,1,-10,2500,0.15925
77,1,-10,2500,0.15921
78,1,-10,2500,0.159544
79,1,-10,2500,0.157446
80,1,-10,2500,0.157373
81,1,-10,2500,0.157256
82,1,-10,2500,0.156674
83,1,-10,2500,0.156532
84,1,-10,2500,0.155568
85,1,-10,2500,0.155605
86,1,-10,2500,0.155581
87,1,-10,2500,0.154566
88,1,-10,2500,0.15396
89,1,-10,2500,0.153853
90,1,-10,2500,0.153643
91,1,-10,2500,0.153562
92,1,-10,2500,0.152582
93,1,-10,2500,0.152404
94,1,-10,2500,0.151451
95,1,-10,2500,0.151221
96,1,-10,2500,0.151577
97,1,-10,2500,0.152124
98,1,-10,2500,0.150834
99,1,-10,2500,0.150182
100,1,-10,2500,0.150608
101,1,-10,2500,0.150552
102,1,-10,2500,0.149457
103,1,-10,2500,0.148733
104,1,-10,2500,0.149295
105,1,-10,2500,0.14912
106,1,-10,2500,0.147747
107,1,-10,2500,0.148353
108,1,-10,2500,0.147676
109,1,-10,2500,0.148251
110,1,-10,2500,0.147623
3,2,-10,2500,0.188124
4,2,-10,2500,0.234452
5,2,-10,2500,0.247862
6,2,-10,2500,0.250482
7,2,-10,2500,0.249273
8,2,-10,2500,0.245568
9,2,-10,2500,0.242346
10,2,-10,2500,0.238616
11,2,-10,2500,0.235979
12,2,-10,2500,0.231671
13,2,-10,2500,0.227805
14,2,-10,2500,0.225333
15,2,-10,2500,0.221658
16,2,-10,2500,0.218758
17,2,-10,2500,0.216206
18,2,-10,2500,0.213966
19,2,-10,2500,0.211762
20,2,-10,2500,0.209269
21,2,-10,2500,0.207279
22,2,-10,2500,0.205349
23,2,-10,2500,0.203616
24,2,-10,2500,0.201646
25,2,-10,2500,0.199063
26,2,-10,2500,0.197139
27,2,-10,2500,0.195748
28,2,-10,2500,0.194699
29,2,-10,2500,0.192698
30,2,-10,2500,0.191448
31,2,-10,2500,0.189872
32,2,-10,2500,0.188629
33,2,-10,2500,0.187769
34,2,-10,2500,0.18674
35,2,-10,2500,0.186252
36,2,-10,2500,0.184234
37,2,-10,2500,0.183342
38,2,-10,2500,0.181883
39,2,-10,2500,0.181361
40,2,-10,2500,0.18
41,2,-10,2500,0.179333
42,2,-10,2500,0.178118
43,2,-10,2500,0.177038
44,2,-10,2500,0.176062
45,2,-10,2500,0.175464
46,2,-10,2500,0.175057
47,2,-10,2500,0.173553
48,2,-10,2500,0.172822
49,2,-10,2500,0.172147
50,2,-10,2500,0.171737
51,2,-10,2500,0.17056
52,2,-10,2500,0.170128
53,2,-10,2500,0.17036
54,2,-10,2500,0.168892
55,2,-10,2500,0.168528
56,2,-10,2500,0.167153
57,2,-10,2500,0.166966
58,2,-10,2500,0.165464
59,2,-10,2500,0.165516
60,2,-10,2500,0.165297
61,2,-10,2500,0.164114
62,2,-10,2500,0.163854
63,2,-10,2500,0.163912
64,2,-10,2500,0.162663
65,2,-10,2500,0.16299
66,2,-10,2500,0.161481
67,2,-10,2500,0.161035
68,2,-10,2500,0.160914
69,2,-10,2500,0.16023
70,2,-10,2500,0.159584
71,2,-10,2500,0.159502
72,2,-10,2500,0.15888
73,2,-10,2500,0.158622
74,2,-10,2500,0.158365
75,2,-10,2500,0.157283
76,2,-10,2500,0.157647
77,2,-10,2500,0.156977
78,2,-10,2500,0.156541
79,2,-10,2500,0.156603
80,2,-10,2500,0.155638
81,2,-10,2500,0.155053
82,2,-10,2500,0.154732
83,2,-10,2500,0.154493
84,2,-10,2500,0.154624
85,2,-10,2500,0.153014
86,2,-10,2500,0.153358
87,2,-10,2500,0.152958
88,2,-10,2500,0.15269
89,2,-10,2500,0.152588
90,2,-10,2500,0.152118
91,2,-10,2500,0.151421
92,2,-10,2500,0.151333
93,2,-10,2500,0.151091
94,2,-10,2500,0.150809
95,2,-10,2500,0.150007
96,2,-10,2500,0.149649
97,2,-10,2500,0.149529
98,2,-10,2500,0.14935
99,2,-10,2500,0.148869
100,2,-10,2500,0.148191
101,2,-10,2500,0.14881
102,2,-10,2500,0.14823
103,2,-10,2500,0.14791
104,2,-10,2500,0.147501
105,2,-10,2500,0.147499
106,2,-10,2500,0.146721
107,2,-10,2500,0.147115
108,2,-10,2500,0.146261
109,2,-10,2500,0.146686
110,2,-10,2500,0.145844
6,5,-10,2500,0.06275
7,5,-10,2500,0.099432
8,5,-10,2500,0.122825
9,5,-10,2500,0.138219
10,5,-10,2500,0.148348
11,5,-10,2500,0.156819
12,5,-10,2500,0.161942
13,5,-10,2500,0.166125
14,5,-10,2500,0.169197
15,5,-10,2500,0.170109
16,5,-10,2500,0.171632
17,5,-10,2500,0.172619
18,5,-10,2500,0.173593
19,5,-10,2500,0.173263
20,5,-10,2500,0.17473
21,5,-10,2500,0.174035
22,5,-10,2500,0.174128
23,5,-10,2500,0.174403
24,5,-10,2500,0.173582
25,5,-10,2500,0.1732
26,5,-10,2500,0.172201
27,5,-10,2500,0.172844
28,5,-10,2500,0.17146
29,5,-10,2500,0.171519
30,5,-10,2500,0.170963
31,5,-10,2500,0.17079
32,5,-10,2500,0.170005
33,5,-10,2500,0.168641
34,5,-10,2500,0.168845
35,5,-10,2500,0.168672
36,5,-10,2500,0.16763
37,5,-10,2500,0.166843
38,5,-10,2500,0.166016
39,5,-10,2500,0.166045
40,5,-10,2500,0.165607
41,5,-10,2500,0.164863
42,5,-10,2500,0.164536
43,5,-10,2500,0.164687
44,5,-10,2500,0.164144
45,5,-10,2500,0.163276
46,5,-10,2500,0.163016
47,5,-10,2500,0.162543
48,5,-10,2500,0.161943
49,5,-10,2500,0.161004
50,5,-10,2500,0.160884
51,5,-10,2500,0.160472
52,5,-10,2500,0.160263
53,5,-10,2500,0.159436
54,5,-10,2500,0.15894
55,5,-10,2500,0.15878
56,5,-10,2500,0.158333
57,5,-10,2500,0.158102
58,5,-10,2500,0.157235
59,5,-10,2500,0.156605
60,5,-10,2500,0.156113
61,5,-10,2500,0.15645
62,5,-10,2500,0.155473
63,5,-10,2500,0.155463
64,5,-10,2500,0.154936
65,5,-10,2500,0.154902
66,5,-10,2500,0.15421
67,5,-10,2500,0.154336
68,5,-10,2500,0.153898
69,5,-10,2500,0.153271
70,5,-10,2500,0.152872
71,5,-10,2500,0.152538
72,5,-10,2500,0.152608
73,5,-10,2500,0.15121
74,5,-10,2500,0.151867
75,5,-10,2500,0.150622
76,5,-10,2500,0.150423
77,5,-10,2500,0.150093
78,5,-10,2500,0.149808
79,5,-10,2500,0.150501
80,5,-10,2500,0.149595
81,5,-10,2500,0.149407
82,5,-10,2500,0.148666
83,5,-10,2500,0.148576
84,5,-10,2500,0.147752
