Nue,Np,PtdBm,R,pCol
2,0,-10,1000,0.837086
3,0,-10,1000,0.586651
4,0,-10,1000,0.479211
5,0,-10,1000,0.419269
6,0,-10,1000,0.380673
7,0,-10,1000,0.351734
8,0,-10,1000,0.329969
9,0,-10,1000,0.314318
10,0,-10,1000,0.299656
11,0,-10,1000,0.288407
12,0,-10,1000,0.278551
13,0,-10,1000,0.270097
14,0,-10,1000,0.263346
15,0,-10,1000,0.256636
16,0,-10,1000,0.250887
17,0,-10,1000,0.246052
18,0,-10,1000,0.240552
19,0,-10,1000,0.236786
20,0,-10,1000,0.232489
2,1,-10,1000,0.419308
3,1,-10,1000,0.390786
4,1,-10,1000,0.359044
5,1,-10,1000,0.335838
6,1,-10,1000,0.31653
7,1,-10,1000,0.299962
8,1,-10,1000,0.28945
9,1,-10,1000,0.27886
10,1,-10,1000,0.270086
11,1,-10,1000,0.262923
12,1,-10,1000,0.254938
13,1,-10,1000,0.249784
14,1,-10,1000,0.243939
15,1,-10,1000,0.239827
16,1,-10,1000,0.235049
17,1,-10,1000,0.23118
18,1,-10,1000,0.228057
19,1,-10,1000,0.224389
20,1,-10,1000,0.221315
3,2,-10,1000,0.195208
4,2,-10,1000,0.240125
5,2,-10,1000,0.251932
6,2,-10,1000,0.253504
7,2,-10,1000,0.250987
8,2,-10,1000,0.248808
9,2,-10,1000,0.243867
10,2,-10,1000,0.239522
11,2,-10,1000,0.236032
12,2,-10,1000,0.232459
13,2,-10,1000,0.229123
14,2,-10,1000,0.225079
15,2,-10,1000,0.222279
16,2,-10,1000,0.220084
17,2,-10,1000,0.217513
18,2,-10,1000,0.214482
19,2,-10,1000,0.211809
20,2,-10,1000,0.209205
4,3,-10,1000,0.119734
5,3,-10,1000,0.167574
6,3,-10,1000,0.190644
7,3,-10,1000,0.201062
8,3,-10,1000,0.206733
9,3,-10,1000,0.209678
10,3,-10,1000,0.210712
11,3,-10,1000,0.210282
12,3,-10,1000,0.208698
13,3,-10,1000,0.208277
14,3,-10,1000,0.20608
15,3,-10,1000,0.205659
16,3,-10,1000,0.203905
17,3,-10,1000,0.202805
18,3,-10,1000,0.200959
19,3,-10,1000,0.199815
20,3,-10,1000,0.197099
5,4,-10,1000,0.083716
6,4,-10,1000,0.126516
7,4,-10,1000,0.15066
8,4,-10,1000,0.165116
9,4,-10,1000,0.174759
10,4,-10,1000,0.180328
11,4,-10,1000,0.183938
12,4,-10,1000,0.186141
13,4,-10,1000,0.187183
14,4,-10,1000,0.188191
15,4,-10,1000,0.189355
16,4,-10,1000,0.188267
17,4,-10,1000,0.187688
18,4,-10,1000,0.187259
19,4,-10,1000,0.187185
20,4,-10,1000,0.186312
6,5,-10,1000,0.063347
7,5,-10,1000,0.100505
8,5,-10,1000,0.123721
9,5,-10,1000,0.139464
10,5,-10,1000,0.149874
11,5,-10,1000,0.157147
12,5,-10,1000,0.162948
13,5,-10,1000,0.166531
14,5,-10,1000,0.168142
15,5,-10,1000,0.171091
16,5,-10,1000,0.172677
17,5,-10,1000,0.173616
18,5,-10,1000,0.173662
19,5,-10,1000,0.174246
20,5,-10,1000,0.174967
7,6,-10,1000,0.050332
8,6,-10,1000,0.082376
9,6,-10,1000,0.105193
10,6,-10,1000,0.119823
11,6,-10,1000,0.13114
12,6,-10,1000,0.139989
13,6,-10,1000,0.145714
14,6,-10,1000,0.150346
15,6,-10,1000,0.154341
16,6,-10,1000,0.157109
17,6,-10,1000,0.159164
18,6,-10,1000,0.16067
19,6,-10,1000,0.162119
20,6,-10,1000,0.163173
8,7,-10,1000,0.041308
9,7,-10,1000,0.069633
10,7,-10,1000,0.090073
11,7,-10,1000,0.104834
12,7,-10,1000,0.116143
13,7,-10,1000,0.125062
14,7,-10,1000,0.131615
15,7,-10,1000,0.13756
16,7,-10,1000,0.141633
17,7,-10,1000,0.144681
18,7,-10,1000,0.147031
19,7,-10,1000,0.149599
20,7,-10,1000,0.151567
9,8,-10,1000,0.034846
10,8,-10,1000,0.059847
11,8,-10,1000,0.078638
12,8,-10,1000,0.092462
13,8,-10,1000,0.103756
14,8,-10,1000,0.113279
15,8,-10,1000,0.119863
16,8,-10,1000,0.125635
17,8,-10,1000,0.12989
18,8,-10,1000,0.133514
19,8,-10,1000,0.136797
20,8,-10,1000,0.139923
10,9,-10,1000,0.03001
11,9,-10,1000,0.052006
12,9,-10,1000,0.069746
13,9,-10,1000,0.083376
14,9,-10,1000,0.093985
15,9,-10,1000,0.102371
16,9,-10,1000,0.109579
17,9,-10,1000,0.115426
18,9,-10,1000,0.120483
19,9,-10,1000,0.12436
20,9,-10,1000,0.127634
11,10,-10,1000,0.026287
12,10,-10,1000,0.046223
13,10,-10,1000,0.06252
14,10,-10,1000,0.075604
15,10,-10,1000,0.085648
16,10,-10,1000,0.094228
17,10,-10,1000,0.100926
18,10,-10,1000,0.106569
19,10,-10,1000,0.111396
20,10,-10,1000,0.11652
12,11,-10,1000,0.023356
13,11,-10,1000,0.041738
14,11,-10,1000,0.056338
15,11,-10,1000,0.068266
16,11,-10,1000,0.078378
17,11,-10,1000,0.086807
18,11,-10,1000,0.094111
19,11,-10,1000,0.099623
20,11,-10,1000,0.10474
13,12,-10,1000,0.020832
14,12,-10,1000,0.037298
15,12,-10,1000,0.05114
16,12,-10,1000,0.06249
17,12,-10,1000,0.071873
18,12,-10,1000,0.080337
19,12,-10,1000,0.087329
20,12,-10,1000,0.093297
14,13,-10,1000,0.01864
15,13,-10,1000,0.034332
16,13,-10,1000,0.046711
17,13,-10,1000,0.058098
18,13,-10,1000,0.066994
19,13,-10,1000,0.074333
20,13,-10,1000,0.081664
15,14,-10,1000,0.017117
16,14,-10,1000,0.031666
17,14,-10,1000,0.043292
18,14,-10,1000,0.053333
19,14,-10,1000,0.062162
20,14,-10,1000,0.069594
16,15,-10,1000,0.015581
17,15,-10,1000,0.029093
18,15,-10,1000,0.040291
19,15,-10,1000,0.049602
20,15,-10,1000,0.058132
17,16,-10,1000,0.014534
18,16,-10,1000,0.026816
19,16,-10,1000,0.037496
20,16,-10,1000,0.046646
18,17,-10,1000,0.013409
19,17,-10,1000,0.024851
20,17,-10,1000,0.034755
19,18,-10,1000,0.01243
20,18,-10,1000,0.023416
20,19,-10,1000,0.011733
